workload,input_tokens,output_tokens,concurrency,repeat,requests,errors,wall_seconds,tokens_per_second,client_mean_ms,client_p50_ms,client_p95_ms,ttft_seconds,tpot_seconds,queue_seconds,prefill_seconds,decode_seconds,gpu0_util_mean,gpu0_util_peak,gpu0_memory_util_mean,gpu0_memory_util_peak,gpu0_power_watts_mean,gpu0_power_watts_peak,gpu0_memory_used_mib_mean,gpu0_memory_used_mib_peak,gpu1_util_mean,gpu1_util_peak,gpu1_memory_util_mean,gpu1_memory_util_peak,gpu1_power_watts_mean,gpu1_power_watts_peak,gpu1_memory_used_mib_mean,gpu1_memory_used_mib_peak,pd_running_mean,pd_running_peak,pd_waiting_mean,pd_waiting_peak,pd_kv_cache_usage_mean,pd_kv_cache_usage_peak
prefill,16000,1,16,1,16,0,30.68929621,8341.670602292383,16618.8679219375,15675.138895,30657.50597,16.569977402687073,0.0,12.770799098128919,3.740672677755356,0.0,0.0,0.0,0.0,0.0,119.31105454545454,119.46,19176.0,19176.0,99.75272727272727,100.0,6.138181818181818,7.0,277.93072727272727,282.22,119558.0,119558.0,1.4836363636363636,2.0,7.098181818181819,14.0,0.00802099566353007,0.011726968578622432
prefill,16000,1,16,2,16,0,30.693970449,8340.400288889325,16623.7778140625,15693.21978,30662.260609,16.576500490307808,0.0,12.773224744363688,3.7411209330894053,0.0,0.0,0.0,0.0,0.0,119.31948905109489,119.44,19176.0,19176.0,99.25547445255475,100.0,6.065693430656935,7.0,276.6606934306569,282.13,119558.0,119558.0,1.4635036496350364,2.0,6.839416058394161,14.0,0.007945285559741203,0.011726968578622432
prefill,16000,1,1,0,1,0,1.937356999,8258.674063819251,1937.356999,1937.356999,1937.356999,1.917024850845337,0.0,2.5789253413677216e-05,1.9134941352531314,0.0,0.0,0.0,0.0,0.0,118.95631578947368,119.0,19176.0,19176.0,89.05263157894737,100.0,5.578947368421052,7.0,239.78052631578947,287.96,119558.0,119558.0,0.5789473684210527,1.0,0.0,0.0,0.004992130586874842,0.00862277101369291
prefill,16000,1,1,1,1,0,1.938061053,8255.67387324201,1938.061053,1938.061053,1938.061053,1.9171044826507568,0.0,3.292970359325409e-05,1.913004295900464,0.0,0.0,0.0,0.0,0.0,119.53833333333334,119.59,19176.0,19176.0,92.88888888888889,100.0,6.0,7.0,242.41222222222223,288.45,119558.0,119558.0,0.5555555555555556,1.0,0.0,0.0,0.004790428340940505,0.00862277101369291
prefill,16000,1,1,2,1,0,1.936673318,8261.589526375661,1936.673318,1936.673318,1936.673318,1.9162659645080566,0.0,2.341531217098236e-05,1.912528824992478,0.0,0.0,0.0,0.0,0.0,119.37105263157895,119.4,19176.0,19176.0,89.6842105263158,100.0,5.473684210526316,7.0,241.8957894736842,290.29,119558.0,119558.0,0.5263157894736842,1.0,0.0,0.0,0.004538300533522584,0.00862277101369291
prefill,16000,1,8,0,8,0,15.371216535,8327.252414182454,8801.344913,7858.530276,15355.090615,8.761772722005844,0.0,5.096248177811503,3.616114398697391,0.0,0.0,0.0,0.0,0.0,119.4222602739726,119.48,19176.0,19176.0,98.45205479452055,100.0,6.082191780821918,7.0,273.69246575342464,290.05,119558.0,119558.0,1.3767123287671232,2.0,2.6164383561643834,6.0,0.0069260931665602755,0.01007139654399336
prefill,16000,1,8,1,8,0,15.376368796,8324.462146960072,8806.253247875,7873.902633,15360.868952,8.766035616397858,0.0,5.097508072620258,3.616886297124438,0.0,0.0,0.0,0.0,0.0,119.47709459459459,119.58,19176.0,19176.0,98.37837837837837,100.0,6.04054054054054,7.0,274.857027027027,294.03,119558.0,119558.0,1.4391891891891893,2.0,2.668918918918919,6.0,0.007200246844298854,0.01007139654399336
prefill,16000,1,8,2,8,0,15.37247069,8326.573039639343,8801.749713000001,7867.384748,15361.425783,8.76234245300293,0.0,5.097358218743466,3.616478070151061,0.0,0.0,0.0,0.0,0.0,119.43561643835616,119.5,19176.0,19176.0,98.9931506849315,100.0,6.13013698630137,7.0,273.8809589041096,292.82,119558.0,119558.0,1.3904109589041096,2.0,2.712328767123288,6.0,0.006975231149323239,0.01007139654399336
prefill,4096,1,16,0,16,0,6.772293392,9677.07631766465,3792.5652021875,3817.621829,6754.680629,3.7714170962572098,0.0,2.209328053810168,1.5209816022543237,0.0,0.0,0.0,0.0,0.0,119.27092307692308,119.31,19176.0,19176.0,98.03076923076924,100.0,6.876923076923077,7.0,266.7073846153846,281.4,119558.0,119558.0,1.7846153846153847,2.0,6.123076923076923,13.0,0.003939412431117344,0.00441485875901082
prefill,4096,1,16,1,16,0,6.770175988,9680.102868250578,3791.10233425,3815.859905,6753.041561,3.770458295941353,0.0,2.2114521598559804,1.5212164638214745,0.0,0.0,0.0,0.0,0.0,119.24816666666666,119.29,19176.0,19176.0,96.96666666666667,100.0,6.8,7.0,264.9285,280.89,119558.0,119558.0,1.8,2.0,6.716666666666667,13.0,0.003973372883109737,0.00441485875901082
